OperatorName,site_count,total_chargers,max_site_size,avg_site_size
eCarUp,2618,6391,40,2.4411764705882355
Move,769,2405,55,3.1274382314694407
swisscharge.ch AG,806,2345,60,2.9094292803970223
Shell Recharge,449,1146,21,2.552338530066815
Energie 360 Grad AG,291,953,30,3.274914089347079
M-Charge,215,908,16,4.223255813953489
GoFast,112,642,24,5.732142857142857
AVIA VOLT Suisse AG,157,550,42,3.5031847133757963
IWB Industrielle Werke Basel,207,473,12,2.285024154589372
Tesla,36,444,24,12.333333333333334
Elektrizitätswerk der Stadt Zürich,49,405,75,8.26530612244898
Power Up,86,224,8,2.604651162790698
Saascharge,71,202,32,2.8450704225352115
Lidl Schweiz AG,56,168,3,3.0
Plenitude On The Road,37,150,12,4.054054054054054
PLUG N ROLL,67,146,6,2.1791044776119404
IONITY,18,138,12,7.666666666666667
Electra,23,110,12,4.782608695652174
Fastned,14,60,8,4.285714285714286
Porsche Sales & Marketplace GmbH,20,53,6,2.65
evpass,16,40,6,2.5
Chargepoint,12,39,8,3.25
AIL,2,21,19,10.5
naturenergie holding AG,4,18,10,4.5
TAE,1,16,16,16.0
Agrola,2,9,7,4.5
MOBILECHARGE,5,8,2,1.6
EWD Elektrizitätswerk Davos AG,4,8,2,2.0
Elektrizitätswerk Obwalden,7,7,1,1.0
MOBIMOEMOBILITY,3,6,2,2.0
ebs Energie AG,6,6,1,1.0
ENMOBILECHARGE,3,6,2,2.0
EVAEMOBILITAET,2,4,2,2.0
PARKCHARGE,2,3,2,1.5
Autosense,1,2,2,2.0
EWACHARGE,1,2,2,2.0
Stadt Dietikon,1,1,1,1.0
SCHARGE,1,1,1,1.0
Elektrizitätswerk Herrliberg,1,1,1,1.0
PACEMOBILITY,1,1,1,1.0
